;;;;;;;;;Tackles;Tackles;Tackles;Tackles;Tackles;Vs Dribbles;Vs Dribbles;Vs Dribbles;Vs Dribbles;Pressures;Pressures;Pressures;Pressures;Pressures;Pressures;Blocks;Blocks;Blocks;Blocks;;;;;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Tkl;TklW;Def 3rd;Mid 3rd;Att 3rd;Tkl;Att;Tkl%;Past;Press;Succ;%;Def 3rd;Mid 3rd;Att 3rd;Blocks;Sh;ShSv;Pass;Int;Tkl+Int;Clr;Err;Matches
269;Domenico Berardi\Domenico-Berardi;it ITA;FW;Sassuolo;it Serie A;24;1994;27.7;39;23;19;14;6;13;69;18.8;56;637;144;22.6;197;270;170;47;4;1;43;38;77;26;0;Matches
270;Yuri Berchiche\Yuri-Berchiche;es ESP;DF;Athletic Club;es La Liga;29;1990;31.7;50;31;33;15;2;24;45;53.3;21;408;135;33.1;195;156;57;75;5;0;70;22;72;69;0;Matches
271;Álex Berenguer\Alex-Berenguer;es ESP;MFFW;Torino;it Serie A;24;1995;20.3;22;12;8;10;4;9;38;23.7;29;441;99;22.4;85;194;162;34;1;0;33;15;37;19;0;Matches
272;Bartosz Bereszy?ski\Bartosz-Bereszynski;pl POL;DF;Sampdoria;it Serie A;27;1992;26.7;61;33;28;27;6;28;65;43.1;37;379;109;28.8;180;154;45;72;16;0;56;23;84;97;1;Matches
273;Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson;is ISL;MF;Burnley;eng Premier League;28;1990;6.9;7;3;2;1;4;2;9;22.2;7;105;19;18.1;34;35;36;10;1;0;9;4;11;8;0;Matches
274;Markel Bergara\Markel-Bergara;es ESP;MF;Getafe;es La Liga;33;1986;0.8;0;0;0;0;0;0;0;;0;11;5;45.5;0;8;3;1;0;0;1;0;0;2;0;Matches
275;Sander Berge\Sander-Berge;no NOR;MF;Sheffield Utd;eng Premier League;21;1998;10.5;26;17;5;15;6;6;15;40.0;9;249;64;25.7;54;131;64;28;1;0;27;3;29;16;0;Matches
276;Steven Bergwijn\Steven-Bergwijn;nl NED;FWMF;Tottenham;eng Premier League;21;1997;7.8;5;4;1;3;1;2;10;20.0;8;117;34;29.1;26;68;23;11;0;0;11;5;10;7;0;Matches
277;Robert Beri?\Robert-Beric;si SVN;FWMF;Saint-Étienne;fr Ligue 1;28;1991;4.6;4;2;0;2;2;2;6;33.3;4;113;33;29.2;4;60;49;3;0;0;3;2;6;1;0;Matches
278;Etrit Berisha\Etrit-Berisha;al ALB;GK;SPAL;it Serie A;30;1989;26.0;1;0;1;0;0;1;4;25.0;3;8;1;12.5;8;0;0;0;0;0;0;0;1;1;0;Matches
279;Valon Berisha\Valon-Berisha;xk KVX;MFFW;Lazio;it Serie A;26;1993;0.4;1;0;0;1;0;1;2;50.0;1;14;2;14.3;3;8;3;0;0;0;0;0;1;2;0;Matches
280;Valon Berisha\Valon-Berisha;xk KVX;MFFW;Düsseldorf;de Bundesliga;26;1993;10.5;21;15;8;11;2;7;28;25.0;21;257;91;35.4;44;149;64;16;1;0;15;7;28;7;0;Matches
281;Sergio Bermejo\Sergio-Bermejo;es ESP;FW;Celta Vigo;es La Liga;21;1997;0.1;0;0;0;0;0;0;0;;0;4;2;50.0;1;1;2;0;0;0;0;0;0;0;0;Matches
282;Bernard\Bernard;br BRA;MFFW;Everton;eng Premier League;26;1992;14.2;25;14;9;10;6;6;40;15.0;34;271;69;25.5;65;142;64;30;2;0;28;15;40;8;0;Matches
283;Federico Bernardeschi\Federico-Bernardeschi;it ITA;MFFW;Juventus;it Serie A;25;1994;17.5;14;7;5;3;6;4;24;16.7;20;313;73;23.3;49;132;132;22;1;0;21;6;20;12;0;Matches
284;Bernardo\Bernardo;br BRA;DF;Brighton;eng Premier League;24;1995;7.5;28;16;14;5;9;12;19;63.2;7;129;44;34.1;56;48;25;16;3;0;13;5;33;25;0;Matches
285;Paul Bernardoni\Paul-Bernardoni;fr FRA;GK;Nîmes;fr Ligue 1;22;1997;24.5;0;0;0;0;0;0;1;0.0;1;2;0;0.0;2;0;0;0;0;0;0;0;0;1;1;Matches
286;Juan Bernat\Juan-Bernat;es ESP;DFMF;Paris S-G;fr Ligue 1;26;1993;15.4;43;21;21;14;8;17;60;28.3;43;238;78;32.8;89;86;63;31;3;0;28;8;51;30;0;Matches
287;Dimitry Bertaud\Dimitry-Bertaud;fr FRA;GK;Montpellier;fr Ligue 1;21;1998;2.2;1;1;1;0;0;1;1;100.0;0;0;0;;0;0;0;0;0;0;0;0;1;0;0;Matches
288;Andrea Bertolacci\Andrea-Bertolacci;it ITA;MF;Sampdoria;it Serie A;28;1991;5.9;10;5;2;6;2;1;10;10.0;9;82;26;31.7;22;44;16;9;1;0;8;3;13;9;0;Matches
289;Ryan Bertrand\Ryan-Bertrand;eng ENG;DF;Southampton;eng Premier League;29;1989;30.5;48;28;20;19;9;19;55;34.5;36;385;142;36.9;139;162;84;52;13;0;39;26;74;76;1;Matches
290;Muhamed Beši?\Muhamed-Besic;ba BIH;MF;Sheffield Utd;eng Premier League;26;1992;2.8;9;6;6;3;0;2;6;33.3;4;71;17;23.9;29;33;9;4;0;0;4;2;11;5;0;Matches
291;Louis Beyer\Louis-Beyer;de GER;DF;M'Gladbach;de Bundesliga;19;2000;1.2;6;4;4;2;0;1;3;33.3;2;18;6;33.3;5;10;3;4;2;0;2;1;7;7;1;Matches
292;Ermin Bi?ak?i?\Ermin-Bicakcic;ba BIH;DF;Hoffenheim;de Bundesliga;29;1990;13.1;9;6;8;1;0;5;12;41.7;7;89;31;34.8;52;33;4;24;9;0;15;13;22;98;1;Matches
293;Pedro Bigas\Pedro-Bigas;es ESP;DF;Eibar;es La Liga;28;1990;19.7;18;14;9;9;0;8;20;40.0;12;143;48;33.6;83;53;7;28;13;1;15;16;34;133;1;Matches
294;Lucas Biglia\Lucas-Biglia;ar ARG;MF;Milan;it Serie A;33;1986;7.6;12;8;7;5;0;5;21;23.8;16;214;50;23.4;83;111;20;14;5;0;9;6;18;13;0;Matches
295;El Bilal Touré\El-Bilal-Toure;ml MLI;FW;Reims;fr Ligue 1;17;2001;5.0;3;3;1;0;2;0;0;;0;80;23;28.8;7;36;37;8;0;0;8;0;3;1;0;Matches
