;;;;;;;;;Touches;Touches;Touches;Touches;Touches;Touches;Touches;Dribbles;Dribbles;Dribbles;Dribbles;Dribbles;Carries;Carries;Carries;Receiving;Receiving;Receiving;;;
Rk;Player;Nation;Pos;Squad;Comp;Age;Born;90s;Touches;Def Pen;Def 3rd;Mid 3rd;Att 3rd;Att Pen;Live;Succ;Att;Succ%;#Pl;Megs;Carries;TotDist;PrgDist;Targ;Rec;Rec%;Miscon;Dispos;Matches
132;Iago Aspas\Iago-Aspas;es ESP;FW;Celta Vigo;es La Liga;31;1987;36.2;1676;13;133;882;795;165;1585;60;97;61.9;67;1;1235;8804;5009;1959;1317;67.2;69;70;Matches
133;Roger Assalé\Roger-Assale;ci CIV;FWMF;Leganés;es La Liga;25;1993;5.9;192;0;12;85;112;36;189;16;20;80.0;16;1;165;1205;701;268;156;58.2;11;14;Matches
134;Miguel Atienza\Miguel-Atienza;es ESP;MF;Eibar;es La Liga;;;0.3;21;1;5;12;5;3;21;0;0;;0;0;12;56;12;13;12;92.3;1;0;Matches
135;Christian Atsu\Christian-Atsu;gh GHA;FWMF;Newcastle Utd;eng Premier League;27;1992;8.3;332;11;85;133;158;20;323;19;40;47.5;21;1;255;1971;1174;321;215;67.0;21;20;Matches
136;Youcef Attal\Youcef-Attal;dz ALG;FWDF;Nice;fr Ligue 1;23;1996;11.1;741;18;161;365;300;48;678;41;85;48.2;43;3;556;4743;3389;621;512;82.4;38;29;Matches
137;Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang;ga GAB;FW;Arsenal;eng Premier League;30;1989;34.8;1248;29;159;502;672;168;1214;25;49;51.0;29;0;865;6219;3897;1528;939;61.5;58;39;Matches
138;Emil Audero\Emil-Audero;it ITA;GK;Sampdoria;it Serie A;22;1997;36.0;1127;1005;1125;2;0;0;727;1;1;100.0;1;0;469;2314;1225;397;395;99.5;0;0;Matches
139;Tommaso Augello\Tommaso-Augello;it ITA;DF;Sampdoria;it Serie A;24;1994;12.6;916;38;271;436;292;3;790;21;30;70.0;21;0;603;4174;2624;635;597;94.0;8;16;Matches
140;Jean-Kévin Augustin\Jean-Kevin-Augustin;fr FRA;FW;Monaco;fr Ligue 1;22;1997;3.0;80;1;5;38;42;19;79;8;12;66.7;8;1;62;410;250;115;57;49.6;9;7;Matches
141;Ludwig Augustinsson\Ludwig-Augustinsson;se SWE;DF;Werder Bremen;de Bundesliga;25;1994;10.3;665;32;188;280;242;16;539;6;9;66.7;7;0;344;1972;1147;400;353;88.3;12;10;Matches
142;Serge Aurier\Serge-Aurier;ci CIV;DF;Tottenham;eng Premier League;26;1992;30.0;2057;120;582;895;680;54;1789;46;73;63.0;46;7;1198;5619;3138;1297;1146;88.4;36;31;Matches
143;Mathias Autret\Mathias-Autret;fr FRA;MFFW;Brest;fr Ligue 1;28;1991;13.6;724;8;89;358;328;41;644;12;27;44.4;12;2;466;2803;1518;635;474;74.6;29;19;Matches
144;Ezequiel Ávila\Ezequiel-Avila;ar ARG;FW;Osasuna;es La Liga;25;1994;17.7;575;2;28;251;329;98;554;15;33;45.5;19;1;343;2361;1244;840;395;47.0;43;34;Matches
145;Javier Avilés\Javier-Aviles;es ESP;MFFW;Leganés;es La Liga;21;1997;2.0;103;1;16;41;60;10;103;4;7;57.1;4;0;77;697;421;92;70;76.1;1;6;Matches
146;Chidozie Awaziem\Chidozie-Awaziem;ng NGA;DF;Leganés;es La Liga;22;1997;22.2;1012;107;448;556;62;14;915;3;5;60.0;3;0;519;2886;1444;509;486;95.5;5;4;Matches
147;Taiwo Awoniyi\Taiwo-Awoniyi;ng NGA;FW;Mainz 05;de Bundesliga;21;1997;5.4;178;4;19;80;93;34;175;10;18;55.6;11;0;126;946;592;223;129;57.8;27;11;Matches
148;Florian Ayé\Florian-Aye;fr FRA;FWMF;Brescia;it Serie A;22;1997;15.3;504;22;79;222;232;60;493;22;33;66.7;23;1;314;1882;852;623;339;54.4;41;26;Matches
149;Jordan Ayew\Jordan-Ayew;gh GHA;FWMF;Crystal Palace;eng Premier League;27;1991;35.0;1366;30;178;673;635;134;1331;75;117;64.1;78;4;1012;7695;3828;1682;956;56.8;99;108;Matches
150;Kaan Ayhan\Kaan-Ayhan;tr TUR;DF;Düsseldorf;de Bundesliga;24;1994;30.3;2017;139;975;977;228;29;1888;11;13;84.6;11;1;1327;7522;4754;1419;1362;96.0;11;4;Matches
151;Ramon Azeez\Ramon-Azeez;ng NGA;MF;Granada;es La Liga;26;1992;15.1;522;11;101;318;138;21;506;3;8;37.5;3;0;320;2078;883;422;301;71.3;17;16;Matches
152;César Azpilicueta\Cesar-Azpilicueta;es ESP;DF;Chelsea;eng Premier League;29;1989;35.9;3273;133;988;1549;876;98;2878;15;24;62.5;17;1;1947;7188;4103;2231;2095;93.9;24;13;Matches
153;Ludovic Baal\Ludovic-Baal;gf GUF;DF;Brest;fr Ligue 1;33;1986;9.2;750;30;242;387;179;8;650;17;27;63.0;19;1;472;2834;1881;448;427;95.3;12;10;Matches
154;Iddrisu Baba\Iddrisu-Baba;gh GHA;MF;Mallorca;es La Liga;23;1996;32.3;1614;102;530;1033;164;15;1595;46;54;85.2;47;1;1135;6788;3026;1016;955;94.0;25;40;Matches
155;Khouma Babacar\Khouma-Babacar;sn SEN;FW;Lecce;it Serie A;26;1993;15.8;537;33;80;252;244;88;521;17;31;54.8;17;0;339;2284;1261;665;378;56.8;46;25;Matches
156;Carlos Bacca\Carlos-Bacca;co COL;FWMF;Villarreal;es La Liga;32;1986;7.6;205;5;12;92;109;38;193;6;11;54.5;7;0;127;664;319;267;149;55.8;16;10;Matches
157;Milan Badelj\Milan-Badelj;hr CRO;MF;Fiorentina;it Serie A;30;1989;17.6;1157;60;274;727;214;12;1111;21;26;80.8;24;0;715;3124;1583;801;769;96.0;14;16;Matches
158;Matthias Bader\Matthias-Bader;de GER;DF;Köln;de Bundesliga;22;1997;0.1;8;0;5;4;1;0;4;0;0;;0;0;4;45;27;4;3;75.0;0;0;Matches
159;Bastian Badu\Bastian-Badu;fr FRA;FW;Montpellier;fr Ligue 1;19;2000;0.1;7;0;0;6;3;1;7;0;0;;0;0;3;4;1;12;6;50.0;0;0;Matches
160;Alejandro Baena\Alejandro-Baena;es ESP;MF;Villarreal;es La Liga;18;2001;0.2;6;0;3;3;1;0;5;0;0;;0;0;2;10;0;6;3;50.0;0;0;Matches
161;Stéphane Bahoken\Stephane-Bahoken;cm CMR;FW;Angers;fr Ligue 1;27;1992;10.1;340;5;19;163;171;55;320;3;13;23.1;4;0;232;1367;597;473;254;53.7;36;27;Matches
162;Daniel Baier\Daniel-Baier;de GER;MF;Augsburg;de Bundesliga;35;1984;21.6;1097;52;355;659;157;6;1067;11;15;73.3;11;0;620;3160;1371;591;556;94.1;12;10;Matches
163;Leon Bailey\Leon-Bailey;jm JAM;FWMF;Leverkusen;de Bundesliga;21;1997;12.1;637;7;72;292;345;55;591;43;74;58.1;44;2;495;3709;2176;615;459;74.6;27;20;Matches
164;Eric Bailly\Eric-Bailly;ci CIV;DF;Manchester Utd;eng Premier League;25;1994;1.7;87;15;39;50;0;0;87;1;1;100.0;1;0;58;249;145;52;52;100.0;0;2;Matches
165;Dénys Bain\Denys-Bain;fr FRA;DF;Brest;fr Ligue 1;26;1993;14.1;820;180;609;247;7;4;799;0;1;0.0;0;0;523;2853;1093;550;538;97.8;0;5;Matches
166;Leighton Baines\Leighton-Baines;eng ENG;DF;Everton;eng Premier League;34;1984;4.5;255;22;60;98;103;1;203;1;2;50.0;2;0;136;502;281;149;136;91.3;3;3;Matches
167;Stefan Bajic\Stefan-Bajic;fr FRA;GK;Saint-Étienne;fr Ligue 1;17;2001;1.0;23;17;23;0;0;0;13;0;0;;0;0;5;16;8;4;4;100.0;0;0;Matches
168;Tiemoué Bakayoko\Tiemoue-Bakayoko;fr FRA;MF;Monaco;fr Ligue 1;24;1994;19.1;1233;31;229;791;284;39;1222;31;56;55.4;33;2;865;5048;2438;935;869;92.9;30;34;Matches
169;Lewis Baker\Lewis-Baker;eng ENG;MF;Düsseldorf;de Bundesliga;24;1995;6.1;283;15;70;179;54;6;276;10;12;83.3;10;0;204;1229;563;209;190;90.9;7;5;Matches
170;Mitchel Bakker\Mitchel-Bakker;nl NED;DF;Paris S-G;fr Ligue 1;19;2000;1.0;100;4;34;53;19;0;95;1;1;100.0;1;0;80;278;80;88;86;97.7;2;1;Matches
171;Ridle Baku\Ridle-Baku;de GER;DFMF;Mainz 05;de Bundesliga;21;1998;26.1;1524;76;444;739;458;25;1356;31;63;49.2;38;3;901;5357;3051;916;815;89.0;35;26;Matches
172;Fabián Balbuena\Fabian-Balbuena;py PAR;DF;West Ham;eng Premier League;27;1991;13.1;653;96;350;311;27;16;635;0;0;;0;0;308;1778;978;344;329;95.6;2;0;Matches
173;Keita Baldé\Keita-Balde;sn SEN;FWMF;Monaco;fr Ligue 1;24;1995;9.5;417;12;49;189;205;50;401;6;12;50.0;6;1;253;1422;767;502;315;62.7;25;17;Matches
174;George Baldock\George-Baldock;eng ENG;DF;Sheffield Utd;eng Premier League;26;1993;38.0;1936;106;416;692;930;64;1640;43;67;64.2;46;0;1156;7488;3889;1250;1055;84.4;33;31;Matches
175;Gareth Bale\Gareth-Bale;wal WAL;FWMF;Real Madrid;es La Liga;30;1989;12.1;618;11;70;308;296;52;601;17;30;56.7;19;0;431;3224;1851;644;512;79.5;27;16;Matches
176;Mikel Balenziaga\Mikel-Balenziaga;es ESP;DF;Athletic Club;es La Liga;31;1988;6.3;317;17;93;157;78;1;261;1;2;50.0;1;0;150;775;426;159;145;91.2;3;2;Matches
177;Leonardo Balerdi\Leonardo-Balerdi;ar ARG;DFMF;Dortmund;de Bundesliga;20;1999;1.5;142;12;52;93;2;0;138;1;3;33.3;2;0;110;505;183;110;107;97.3;0;1;Matches
178;Marco Ballarini\Marco-Ballarini;it ITA;MF;Udinese;it Serie A;18;2001;0.0;5;0;2;3;1;0;5;0;0;;0;0;3;32;26;4;4;100.0;0;0;Matches
179;Fodé Ballo-Touré\Fode-Ballo-Toure;fr FRA;DF;Monaco;fr Ligue 1;22;1997;18.7;1067;51;334;541;292;22;914;30;50;60.0;33;0;687;5130;3114;686;625;91.1;23;15;Matches
180;Florent Balmont\Florent-Balmont;fr FRA;MF;Dijon;fr Ligue 1;39;1980;4.5;315;2;69;204;57;2;297;1;3;33.3;3;0;219;1012;548;240;213;88.8;5;6;Matches
181;Mario Balotelli\Mario-Balotelli;it ITA;FW;Brescia;it Serie A;28;1990;15.6;571;26;75;281;249;50;538;11;22;50.0;11;0;362;1987;985;628;427;68.0;30;12;Matches
182;Abdoulaye Bamba\Abdoulaye-Bamba;ci CIV;DF;Angers;fr Ligue 1;29;1990;6.2;321;9;113;148;72;3;263;4;4;100.0;4;0;182;799;384;190;177;93.2;1;4;Matches
183;Jonathan Bamba\Jonathan-Bamba;fr FRA;FWMF;Lille;fr Ligue 1;23;1996;21.5;1110;13;113;566;539;68;1054;48;80;60.0;51;6;909;6944;3888;983;789;80.3;35;60;Matches
184;Éver Banega\Ever-Banega;ar ARG;MF;Sevilla;es La Liga;31;1988;27.5;2637;25;441;1663;723;32;2394;46;64;71.9;48;0;1964;10386;5732;2159;2031;94.1;46;48;Matches
185;Mattia Bani\Mattia-Bani;it ITA;DF;Bologna;it Serie A;25;1993;24.5;1436;204;823;647;46;21;1388;2;4;50.0;2;0;771;4796;2341;854;837;98.0;7;1;Matches
186;Antonín Barák\Antonin-Barak;cz CZE;MF;Udinese;it Serie A;24;1994;2.2;135;3;20;65;59;3;130;6;6;100.0;6;0;98;735;366;114;91;79.8;7;4;Matches
187;Antonín Barák\Antonin-Barak;cz CZE;MF;Lecce;it Serie A;24;1994;15.2;866;30;215;479;263;39;854;10;24;41.7;13;1;575;4368;2595;766;650;84.9;11;19;Matches
188;Federico Barba\Federico-Barba;it ITA;DF;Valladolid;es La Liga;25;1993;5.0;275;16;89;148;46;3;235;1;2;50.0;1;0;145;607;306;161;148;91.9;6;0;Matches
189;Danilo Barbosa\Danilo-Barbosa;br BRA;DFMF;Nice;fr Ligue 1;23;1996;12.5;959;103;424;517;94;11;942;10;16;62.5;13;2;697;4039;2466;745;719;96.5;13;9;Matches
190;Melvin Bard\Melvin-Bard;fr FRA;DF;Lyon;fr Ligue 1;18;2000;0.5;47;0;6;15;27;1;42;0;0;;0;0;37;186;114;36;34;94.4;0;0;Matches
191;Enis Bardhi\Enis-Bardhi;mk MKD;MF;Levante;es La Liga;24;1995;23.5;1133;30;205;568;431;51;1061;38;59;64.4;40;1;837;4684;2715;995;793;79.7;51;30;Matches
192;Phil Bardsley\Phil-Bardsley;sco SCO;DF;Burnley;eng Premier League;34;1985;21.0;1130;95;343;592;240;11;898;5;8;62.5;5;0;460;2392;1196;520;488;93.8;6;7;Matches
193;Nicolò Barella\Nicolo-Barella;it ITA;MF;Inter;it Serie A;22;1997;22.4;1471;37;277;870;446;38;1452;40;62;64.5;44;1;1127;6638;3317;1192;1093;91.7;31;27;Matches
194;Philipp Bargfrede\Philipp-Bargfrede;de GER;MF;Werder Bremen;de Bundesliga;30;1989;6.5;345;21;95;210;59;4;342;6;7;85.7;6;1;208;994;463;215;199;92.6;5;4;Matches
195;Antonino Barillà\Antonino-Barilla;it ITA;MF;Parma;it Serie A;31;1988;18.8;732;47;204;389;184;30;715;7;17;41.2;9;0;428;2264;1165;544;455;83.6;21;16;Matches
196;Kike Barja\Kike-Barja;es ESP;MFFW;Osasuna;es La Liga;22;1997;3.5;138;4;19;62;76;11;136;11;17;64.7;12;0;116;934;638;158;101;63.9;12;11;Matches
197;Ross Barkley\Ross-Barkley;eng ENG;MF;Chelsea;eng Premier League;25;1993;12.3;779;15;93;409;336;42;769;33;42;78.6;34;1;650;3912;1862;695;618;88.9;20;37;Matches
198;Aymen Barkok\Aymen-Barkok;ma MAR;FWMF;Düsseldorf;de Bundesliga;21;1998;0.9;45;4;12;26;9;0;44;0;1;0.0;0;0;23;78;43;34;25;73.5;2;1;Matches
199;Ashley Barnes\Ashley-Barnes;eng ENG;FW;Burnley;eng Premier League;29;1989;15.0;435;15;46;195;210;54;426;11;17;64.7;13;0;257;1058;461;706;298;42.2;41;20;Matches
200;Harvey Barnes\Harvey-Barnes;eng ENG;MFFW;Leicester City;eng Premier League;21;1997;23.1;1019;14;104;415;590;133;1016;37;78;47.4;43;4;781;6328;4327;1113;822;73.9;50;40;Matches
201;Antonio Barragán\Antonio-Barragan;es ESP;DF;Betis;es La Liga;32;1987;7.1;518;28;119;229;196;10;460;3;4;75.0;3;1;329;1292;690;380;361;95.0;4;1;Matches
202;Antonio Barreca\Antonio-Barreca;it ITA;DFMF;Genoa;it Serie A;24;1995;12.2;505;34;123;200;223;18;423;7;20;35.0;9;3;304;1965;1159;353;307;87.0;11;12;Matches
203;Leandro Barreiro Martins\Leandro-Barreiro-Martins;lu LUX;MF;Mainz 05;de Bundesliga;19;2000;10.4;498;19;121;302;92;9;485;4;8;50.0;5;0;260;950;510;272;247;90.8;9;7;Matches
204;Ander Barrenetxea\Ander-Barrenetxea;es ESP;FWMF;Real Sociedad;es La Liga;17;2001;4.9;280;6;26;111;164;39;271;22;45;48.9;23;2;239;1884;1133;272;213;78.3;15;12;Matches
205;Édgar Barreto\Edgar-Barreto;py PAR;MF;Sampdoria;it Serie A;35;1984;1.0;42;0;2;31;11;1;40;0;0;;0;0;26;89;37;32;28;87.5;0;1;Matches
206;Musa Barrow\Musa-Barrow;gm GAM;FW;Bologna;it Serie A;20;1998;15.0;841;14;88;399;426;81;766;43;68;63.2;48;3;616;4417;2600;801;608;75.9;51;31;Matches
207;Musa Barrow\Musa-Barrow;gm GAM;FWMF;Atalanta;it Serie A;20;1998;2.1;93;1;2;32;62;27;91;5;6;83.3;6;0;76;446;211;148;71;48.0;8;9;Matches
208;Fin Bartels\Fin-Bartels;de GER;FWMF;Werder Bremen;de Bundesliga;32;1987;3.8;208;7;28;96;97;12;202;6;10;60.0;6;0;152;875;413;180;146;81.1;14;7;Matches
209;Marc Bartra\Marc-Bartra;es ESP;DFMF;Betis;es La Liga;28;1991;28.0;2001;310;1117;878;106;31;1935;13;19;68.4;16;2;1223;6492;3635;1338;1295;96.8;16;11;Matches
210;Daniele Baselli\Daniele-Baselli;it ITA;MF;Torino;it Serie A;27;1992;14.2;897;51;208;498;235;9;802;13;20;65.0;13;0;525;2984;1421;533;482;90.4;14;19;Matches
211;Chris Basham\Chris-Basham;eng ENG;DF;Sheffield Utd;eng Premier League;31;1988;36.0;1951;249;803;878;366;42;1788;27;32;84.4;27;0;962;5331;2922;989;905;91.5;20;15;Matches
212;Toma Baši?\Toma-Basic;hr CRO;MF;Bordeaux;fr Ligue 1;22;1996;11.0;729;22;126;499;154;4;676;18;23;78.3;19;1;498;3050;1723;537;485;90.3;19;19;Matches
213;Thomas Basila\Thomas-Basila;fr FRA;DF;Nantes;fr Ligue 1;20;1999;4.6;293;15;93;170;35;3;267;1;1;100.0;1;0;166;637;246;182;176;96.7;1;2;Matches
214;Gil Bastião Dias\Gil-Bastiao-Dias;pt POR;DFMF;Granada;es La Liga;22;1996;4.0;189;6;50;82;75;11;172;9;11;81.8;9;1;125;911;536;121;99;81.8;7;9;Matches
215;Gil Bastião Dias\Gil-Bastiao-Dias;pt POR;DFMF;Monaco;fr Ligue 1;22;1996;11.7;813;34;173;469;247;24;717;28;43;65.1;30;0;547;4237;2835;548;475;86.7;16;19;Matches
216;Borja Bastón\Borja-Baston;es ESP;MFFW;Aston Villa;eng Premier League;26;1992;0.2;7;1;1;5;3;1;7;0;0;;0;0;5;30;19;7;4;57.1;1;0;Matches
217;Alessandro Bastoni\Alessandro-Bastoni;it ITA;DF;Inter;it Serie A;20;1999;21.3;1623;207;685;905;174;17;1553;8;15;53.3;10;0;1104;7139;4455;1173;1159;98.8;5;6;Matches
218;Bastos\Bastos;ao ANG;DF;Lazio;it Serie A;28;1991;8.5;509;63;248;257;51;7;499;14;19;73.7;14;0;372;2303;1383;370;361;97.6;2;5;Matches
219;Oliver Batista-Meier\Oliver-Batista-Meier;de GER;FW;Bayern Munich;de Bundesliga;18;2001;0.1;6;0;1;2;4;0;6;0;0;;0;0;5;47;12;5;5;100.0;1;0;Matches
220;Michy Batshuayi\Michy-Batshuayi;be BEL;FW;Chelsea;eng Premier League;25;1993;2.7;120;2;13;54;61;32;114;4;8;50.0;6;0;84;523;302;181;87;48.1;10;4;Matches
221;Cristian Battocchio\Cristian-Battocchio;it ITA;MF;Brest;fr Ligue 1;27;1992;15.5;1000;40;281;534;240;22;924;10;13;76.9;10;1;615;2864;1510;688;619;90.0;12;10;Matches
222;Oliver Baumann\Oliver-Baumann;de GER;GK;Hoffenheim;de Bundesliga;29;1990;30.0;1381;1078;1358;30;0;0;1022;0;0;;0;0;727;2900;1581;656;653;99.5;0;0;Matches
223;Julian Baumgartlinger\Julian-Baumgartlinger;at AUT;MF;Leverkusen;de Bundesliga;31;1988;19.9;1338;41;298;864;228;26;1299;9;10;90.0;9;0;858;3191;1210;1021;939;92.0;15;20;Matches
224;Christoph Baumgartner\Christoph-Baumgartner;at AUT;MFFW;Hoffenheim;de Bundesliga;19;1999;16.6;770;15;122;402;305;93;741;22;55;40.0;26;2;493;3423;2008;737;547;74.2;47;27;Matches
225;Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee;ng NGA;FW;Augsburg;de Bundesliga;22;1996;4.2;146;3;20;70;68;21;145;8;15;53.3;8;1;106;909;586;144;94;65.3;15;22;Matches
226;Ihlas Bebou\Ihlas-Bebou;tg TOG;FWMF;Hoffenheim;de Bundesliga;25;1994;23.4;992;40;159;471;442;95;964;53;96;55.2;57;4;704;5151;3248;1075;704;65.5;71;72;Matches
227;Rodrigo Becão\Rodrigo-Becao;br BRA;DF;Udinese;it Serie A;23;1996;24.6;1298;219;709;603;65;18;1253;2;6;33.3;2;1;777;3862;2285;835;814;97.5;11;7;Matches
228;Sheraldo Becker\Sheraldo-Becker;nl NED;MFFW;Union Berlin;de Bundesliga;24;1995;6.0;172;4;36;62;87;11;171;9;13;69.2;9;1;131;1094;685;231;124;53.7;10;3;Matches
229;Timo Becker\Timo-Becker;de GER;DFMF;Schalke 04;de Bundesliga;22;1997;3.7;201;12;69;95;53;12;178;4;9;44.4;4;1;121;1014;656;138;113;81.9;6;4;Matches
230;Jan Bednarek\Jan-Bednarek;pl POL;DF;Southampton;eng Premier League;23;1996;34.0;1939;260;956;1002;45;17;1878;2;2;100.0;2;0;896;3867;1853;966;953;98.7;5;1;Matches
231;Asmir Begovi?\Asmir-Begovic;ba BIH;GK;Milan;it Serie A;32;1987;1.4;39;35;38;1;0;0;22;0;0;;0;0;16;55;36;16;16;100.0;0;0;Matches
232;Valon Behrami\Valon-Behrami;ch SUI;MF;Genoa;it Serie A;34;1985;12.3;568;29;135;387;79;2;557;7;7;100.0;7;2;338;1714;727;367;345;94.0;8;13;Matches
233;Maximilian Beier\Maximilian-Beier;de GER;FW;Hoffenheim;de Bundesliga;16;2002;1.2;48;2;4;24;26;10;44;1;5;20.0;1;0;33;299;221;63;33;52.4;8;3;Matches
234;Gaëtan Belaud\Gaetan-Belaud;fr FRA;DF;Brest;fr Ligue 1;32;1986;6.4;437;24;139;226;91;2;367;3;7;42.9;5;0;235;981;551;269;252;93.7;4;1;Matches
235;Ishak Belfodil\Ishak-Belfodil;dz ALG;FWMF;Hoffenheim;de Bundesliga;27;1992;3.0;94;2;6;34;56;23;91;10;14;71.4;10;0;69;405;214;163;79;48.5;5;6;Matches
236;Haris Belkebla\Haris-Belkebla;dz ALG;MF;Brest;fr Ligue 1;25;1994;20.2;1075;54;315;681;156;9;1060;22;30;73.3;23;0;777;4415;1996;775;709;91.5;19;21;Matches
237;Raoul Bellanova\Raoul-Bellanova;it ITA;DF;Bordeaux;fr Ligue 1;19;2000;0.7;36;2;20;11;8;0;28;0;0;;0;0;23;110;56;27;22;81.5;1;2;Matches
238;Raoul Bellanova\Raoul-Bellanova;it ITA;DF;Atalanta;it Serie A;19;2000;0.2;15;0;2;5;8;1;14;0;0;;0;0;13;44;15;14;14;100.0;0;0;Matches
239;Karim Bellarabi\Karim-Bellarabi;de GER;FWDF;Leverkusen;de Bundesliga;29;1990;15.8;933;9;94;404;537;95;884;50;87;57.5;53;5;763;5866;3898;881;713;80.9;27;41;Matches
240;Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde;fr FRA;MF;Strasbourg;fr Ligue 1;21;1998;16.6;920;21;184;574;251;25;896;32;50;64.0;35;0;679;4647;2393;717;619;86.3;34;36;Matches
241;Héctor Bellerín\Hector-Bellerin;es ESP;DF;Arsenal;eng Premier League;24;1995;12.9;837;34;254;430;212;28;710;16;35;45.7;21;2;489;2887;1810;548;500;91.2;11;16;Matches
242;Andrea Belotti\Andrea-Belotti;it ITA;FW;Torino;it Serie A;25;1993;33.4;1234;22;86;601;668;216;1173;41;78;52.6;43;2;829;6911;4749;1513;906;59.9;86;80;Matches
243;Fran Beltrán\Fran-Beltran;es ESP;MF;Celta Vigo;es La Liga;20;1999;20.3;1047;36;237;671;215;14;1016;17;26;65.4;18;1;775;4169;1673;857;751;87.6;22;28;Matches
244;Sami Ben Amar\Sami-Ben-Amar;ma MAR;FW;Nîmes;fr Ligue 1;21;1998;0.2;13;0;3;5;6;0;13;0;0;;0;0;7;63;53;10;7;70.0;0;2;Matches
245;Hatem Ben Arfa\Hatem-Ben-Arfa;fr FRA;MFFW;Valladolid;es La Liga;32;1987;1.8;77;1;12;51;26;3;72;10;15;66.7;11;0;69;587;312;71;60;84.5;3;9;Matches
246;Wissam Ben Yedder\Wissam-Ben-Yedder;fr FRA;FW;Monaco;fr Ligue 1;28;1990;24.0;1064;11;72;502;582;158;1013;37;56;66.1;39;2;800;4978;3018;1258;823;65.4;55;46;Matches
247;Marco Benassi\Marco-Benassi;it ITA;MF;Fiorentina;it Serie A;24;1994;10.9;449;12;95;193;195;29;438;7;13;53.8;7;0;295;1541;837;371;302;81.4;9;11;Matches
248;Cristian Benavente\Cristian-Benavente;pe PER;MFFW;Nantes;fr Ligue 1;25;1994;3.9;207;0;18;122;81;25;199;4;10;40.0;4;0;138;739;361;226;156;69.0;12;8;Matches
249;Lars Bender\Lars-Bender;de GER;DFMF;Leverkusen;de Bundesliga;30;1989;15.3;1263;44;318;751;278;32;1109;12;16;75.0;13;2;749;4118;2311;846;784;92.7;14;7;Matches
250;Sven Bender\Sven-Bender;de GER;DF;Leverkusen;de Bundesliga;30;1989;30.3;2864;235;1405;1552;80;30;2812;5;5;100.0;5;1;1987;9503;3832;2086;2046;98.1;6;8;Matches
251;Darío Benedetto\Dario-Benedetto;ar ARG;FW;Marseille;fr Ligue 1;33;1986;23.3;739;23;53;378;335;98;684;21;30;70.0;22;1;423;2123;629;948;529;55.8;42;31;Matches
252;László Bénes\Laszlo-Benes;sk SVK;MF;M'Gladbach;de Bundesliga;21;1997;10.0;622;5;101;333;225;16;548;12;16;75.0;12;1;403;1844;1065;486;406;83.5;12;6;Matches
253;Walter Benítez\Walter-Benitez;ar ARG;GK;Nice;fr Ligue 1;26;1993;26.0;842;775;841;5;0;0;600;0;0;;0;0;367;1581;814;357;354;99.2;1;1;Matches
254;Loris Benito\Loris-Benito;ch SUI;DF;Bordeaux;fr Ligue 1;27;1992;21.1;1518;83;444;913;284;26;1330;8;16;50.0;10;1;975;5826;3054;1048;981;93.6;19;14;Matches
255;Bilal Benkhedim\Bilal-Benkhedim;fr FRA;MFFW;Saint-Étienne;fr Ligue 1;18;2001;1.5;86;0;11;52;34;4;80;1;3;33.3;1;0;66;438;217;63;51;81.0;3;6;Matches
256;Ismaël Bennacer\Ismael-Bennacer;dz ALG;MF;Milan;it Serie A;21;1997;27.6;2083;65;495;1340;418;12;1971;66;82;80.5;68;0;1538;8989;4462;1453;1384;95.3;19;42;Matches
257;Ryan Bennett\Ryan-Bennett;eng ENG;DF;Wolves;eng Premier League;29;1990;6.7;315;50;169;133;27;7;300;0;0;;0;0;144;478;237;162;157;96.9;0;3;Matches
258;Ryan Bennett\Ryan-Bennett;eng ENG;DF;Leicester City;eng Premier League;29;1990;3.7;248;12;105;138;22;0;228;0;0;;0;0;132;728;372;162;155;95.7;0;0;Matches
259;Keanen Bennetts\Keanen-Bennetts;eng ENG;MF;M'Gladbach;de Bundesliga;20;1999;0.0;1;0;0;0;1;0;1;0;0;;0;0;0;0;0;3;1;33.3;0;0;Matches
260;Yassine Benrahou\Yassine-Benrahou;fr FRA;FWMF;Bordeaux;fr Ligue 1;20;1999;1.9;139;2;20;71;62;2;125;1;3;33.3;2;0;99;485;217;122;93;76.2;7;7;Matches
261;Yassine Benrahou\Yassine-Benrahou;fr FRA;MFFW;Nîmes;fr Ligue 1;20;1999;8.5;453;1;47;184;246;25;383;19;39;48.7;21;2;327;2004;1056;396;296;74.7;29;32;Matches
262;Ramy Bensebaini\Ramy-Bensebaini;dz ALG;DF;M'Gladbach;de Bundesliga;24;1995;16.1;1154;62;369;607;250;33;986;22;37;59.5;24;4;663;3385;2022;705;648;91.9;9;17;Matches
263;Nabil Bentaleb\Nabil-Bentaleb;dz ALG;MF;Newcastle Utd;eng Premier League;24;1994;8.3;482;24;142;301;56;2;471;6;8;75.0;6;1;266;1065;416;299;288;96.3;1;4;Matches
264;Rodrigo Bentancur\Rodrigo-Bentancur;uy URU;MF;Juventus;it Serie A;22;1997;24.4;1908;55;355;1164;504;22;1827;28;41;68.3;32;4;1318;5801;2680;1473;1387;94.2;17;21;Matches
